"","fips","Hillary Clinton","Donald Trump","Jill Stein","Gary Johnson","Third","diff"
"363","17035",1028,4200,47,238,285,-3172
"364","17037",20348,19051,743,2463,3206,1297
"365","17039",1907,5072,61,429,490,-3165
"366","17041",1946,5695,89,359,448,-3749
"367","17043",222499,164355,6173,19902,26075,58144
"368","17045",1778,5634,47,324,371,-3856
"369","17047",432,2777,12,91,103,-2345
"370","17049",3071,13613,100,644,744,-10542
"371","17051",1814,7363,57,281,338,-5549
"372","17053",1410,4474,86,319,405,-3064
"373","17055",4711,13101,183,538,721,-8390
"374","17057",6118,8482,236,773,1009,-2364
"375","17059",656,1942,20,73,93,-1286
"376","17061",1202,4139,39,162,201,-2937
"377","17063",8021,13417,322,1131,1453,-5396
"378","17065",800,3205,24,114,138,-2405
"379","17067",1744,5713,55,306,361,-3969
"380","17069",419,1650,18,46,64,-1231
"381","17071",1151,2153,19,157,176,-1002
"382","17073",8835,13962,198,1237,1435,-5127
"383","17075",2496,9728,149,550,699,-7232
"384","17077",11619,10889,803,1198,2001,730
"385","17079",924,3973,26,181,207,-3049
"386","17081",4408,11681,158,571,729,-7273
"387","17083",2673,7737,94,405,499,-5064
"388","17085",4452,6113,116,496,612,-1661
"389","17087",1135,4644,56,182,238,-3509
"390","17089",99389,82087,2835,9189,12024,17302
"391","17091",18908,25081,585,1982,2567,-6173
"392","17093",23392,24152,721,2550,3271,-760
"393","17095",9939,10658,273,1094,1367,-719
"394","17097",168186,108608,3732,13048,16780,59578
"395","17099",19277,26269,637,2264,2901,-6992
"396","17101",1288,4517,41,193,234,-3229
"397","17103",5499,8597,226,893,1119,-3098
"398","17105",4005,10197,125,769,894,-6192
"399","17107",3301,8167,129,533,662,-4866
"400","17109",5278,6789,209,634,843,-1511
"401","17111",59827,71117,2118,7083,9201,-11290
"402","17113",35918,37081,1193,4803,5996,-1163
"403","17115",18211,26782,454,1836,2290,-8571
"404","17117",6532,14194,238,917,1155,-7662
"405","17119",50336,70295,1831,5440,7271,-19959
"406","17121",4231,11677,158,534,692,-7446
"407","17123",1784,3776,78,265,343,-1992
"408","17125",2008,4051,54,320,374,-2043
"409","17127",1555,4844,40,194,234,-3289
"410","17129",1808,4230,74,311,385,-2422
"411","17131",3061,4800,82,474,556,-1739
"412","17133",5522,12614,200,738,938,-7092
"413","17135",3490,8616,128,595,723,-5126
