"","FIPS","HRC","DJT","JS","GJ","Third","diff","total","pctHRC","pctDJT","pctDiff"
"367","17043",222499,164355,6173,19902,26075,58144,412929,53.8831130775509,39.8022420319232,14.0808710456277
"368","17045",1778,5634,47,324,371,-3856,7783,22.8446614416035,72.3885391237312,-49.5438776821277
"369","17047",432,2777,12,91,103,-2345,3312,13.0434782608696,83.8466183574879,-70.8031400966184
"370","17049",3071,13613,100,644,744,-10542,17428,17.6210695432637,78.1099380307551,-60.4888684874914
"371","17051",1814,7363,57,281,338,-5549,9515,19.0646347871781,77.3830793483973,-58.3184445612191
"372","17053",1410,4474,86,319,405,-3064,6289,22.4200985848307,71.1400858642074,-48.7199872793767
"373","17055",4711,13101,183,538,721,-8390,18533,25.4195219338477,70.6901203259051,-45.2705983920574
"374","17057",6118,8482,236,773,1009,-2364,15609,39.1953360240887,54.3404446152861,-15.1451085911974
"375","17059",656,1942,20,73,93,-1286,2691,24.3775548123374,72.166480862133,-47.7889260497956
"376","17061",1202,4139,39,162,201,-2937,5542,21.6889209671599,74.6842295200289,-52.995308552869
"377","17063",8021,13417,322,1131,1453,-5396,22891,35.0399720414137,58.6125551526801,-23.5725831112664
"378","17065",800,3205,24,114,138,-2405,4143,19.309678976587,77.3594013999517,-58.0497224233647
"379","17067",1744,5713,55,306,361,-3969,7818,22.3074955231517,73.074955231517,-50.7674597083653
"380","17069",419,1650,18,46,64,-1231,2133,19.6436943272386,77.3558368495077,-57.7121425222691
"381","17071",1151,2153,19,157,176,-1002,3480,33.0747126436782,61.867816091954,-28.7931034482759
"382","17073",8835,13962,198,1237,1435,-5127,24232,36.4600528227138,57.618025751073,-21.1579729283592
"383","17075",2496,9728,149,550,699,-7232,12923,19.3144006809564,75.2766385514199,-55.9622378704635
"384","17077",11619,10889,803,1198,2001,730,24509,47.4070749520584,44.428577257334,2.97849769472438
"385","17079",924,3973,26,181,207,-3049,5104,18.1034482758621,77.8409090909091,-59.737460815047
"386","17081",4408,11681,158,571,729,-7273,16818,26.2100130812225,69.4553454631942,-43.2453323819717
"387","17083",2673,7737,94,405,499,-5064,10909,24.5027041892016,70.9230910257585,-46.420386836557
"388","17085",4452,6113,116,496,612,-1661,11177,39.8317974411738,54.6926724523575,-14.8608750111837
"389","17087",1135,4644,56,182,238,-3509,6017,18.8632208741898,77.1813195944823,-58.3180987202925
"390","17089",99389,82087,2835,9189,12024,17302,193500,51.3638242894057,42.4222222222222,8.94160206718345
"391","17091",18908,25081,585,1982,2567,-6173,46556,40.613454764155,53.8727553913566,-13.2593006272016
"392","17093",23392,24152,721,2550,3271,-760,50815,46.0336514808619,47.5292728525042,-1.49562137164224
"393","17095",9939,10658,273,1094,1367,-719,21964,45.2513203423784,48.5248588599527,-3.27353851757422
"394","17097",168186,108608,3732,13048,16780,59578,293574,57.2891332338695,36.9951017460674,20.2940314878021
"395","17099",19277,26269,637,2264,2901,-6992,48447,39.7898734699775,54.2221396577703,-14.4322661877928
"396","17101",1288,4517,41,193,234,-3229,6039,21.3280344427885,74.7971518463322,-53.4691174035436
"397","17103",5499,8597,226,893,1119,-3098,15215,36.1419651659546,56.5034505422281,-20.3614853762734
"398","17105",4005,10197,125,769,894,-6192,15096,26.5302066772655,67.5476947535771,-41.0174880763116
"399","17107",3301,8167,129,533,662,-4866,12130,27.2135201978566,67.3289365210223,-40.1154163231657
"400","17109",5278,6789,209,634,843,-1511,12910,40.8830364058869,52.5871417505809,-11.704105344694
"401","17111",59827,71117,2118,7083,9201,-11290,140145,42.6893574512112,50.7452995112205,-8.05594206000928
"402","17113",35918,37081,1193,4803,5996,-1163,78995,45.4687005506678,46.9409456294702,-1.47224507880246
"403","17115",18211,26782,454,1836,2290,-8571,47283,38.5148996468075,56.6419220438635,-18.127022397056
"404","17117",6532,14194,238,917,1155,-7662,21881,29.8523833462822,64.8690644851698,-35.0166811388876
"405","17119",50336,70295,1831,5440,7271,-19959,127902,39.3551312723804,54.9600475363951,-15.6049162640146
"406","17121",4231,11677,158,534,692,-7446,16600,25.4879518072289,70.3433734939759,-44.855421686747
"407","17123",1784,3776,78,265,343,-1992,5903,30.2219210570896,63.9674741656785,-33.7455531085889
"408","17125",2008,4051,54,320,374,-2043,6433,31.2140525415825,62.972174724079,-31.7581221824965
"409","17127",1555,4844,40,194,234,-3289,6633,23.4433891150309,73.0287954168551,-49.5854063018242
"410","17129",1808,4230,74,311,385,-2422,6423,28.1488401058695,65.8570761326483,-37.7082360267788
"411","17131",3061,4800,82,474,556,-1739,8417,36.3668765593442,57.0274444576452,-20.6605678983011
"412","17133",5522,12614,200,738,938,-7092,19074,28.9504036908881,66.1319073083779,-37.1815036174898
"413","17135",3490,8616,128,595,723,-5126,12829,27.2039909579858,67.160339855016,-39.9563488970302
"414","17137",4693,9060,187,667,854,-4367,14607,32.1284315739029,62.02505647977,-29.896624905867
"415","17139",1476,4453,43,237,280,-2977,6209,23.7719439523273,71.7184731840876,-47.9465292317603
"416","17141",8025,14344,274,1155,1429,-6319,23798,33.7213211194218,60.2739726027397,-26.5526514833179
"417","17143",37436,35299,1065,3665,4730,2137,77465,48.3263409281611,45.5676757245208,2.75866520364035
"418","17145",2433,6816,112,345,457,-4383,9706,25.0669688852256,70.2246033381413,-45.1576344529157
"419","17147",2633,5623,86,557,643,-2990,8899,29.5875941116979,63.1868749297674,-33.5992808180694
